Date,Price,Open,High,Low,Vol.,Change %
2016-06-08,629.69,629.22,630.79,627.46,,0.09%
2016-06-07,629.15,628.71,631.98,628.71,,0.13%
2016-06-06,628.34,627.9,629.65,625.49,,0.12%
2016-06-03,627.58,630.49,630.49,622.85,,-0.55%
2016-06-02,631.06,628.02,631.06,626.02,,0.50%
2016-06-01,627.94,628.02,628.25,623.97,,-0.13%
2016-05-31,628.78,629.79,630.05,625.97,,-0.10%
2016-05-27,629.44,626.96,630.1,626.96,,0.49%
2016-05-26,626.4,625.69,628.81,625.45,,0.20%
2016-05-25,625.12,622.43,626.49,622.43,,0.49%
2016-05-24,622.09,614.59,623.52,614.59,,1.29%
2016-05-23,614.16,616.26,618.34,613.86,,-0.39%
2016-05-20,616.59,612.75,618.61,612.75,,0.65%
2016-05-19,612.58,612.97,613.36,608.29,,-0.09%
2016-05-18,613.14,615.94,617,609.15,,-0.58%
2016-05-17,616.74,623.76,624.27,615.03,,-1.15%
2016-05-16,623.93,620.23,625.78,618.46,,0.58%
2016-05-13,620.33,627.06,627.17,619.84,,-1.10%
2016-05-12,627.22,626.76,629.99,623.17,,0.13%
2016-05-11,626.4,638.93,638.93,626.12,,-1.98%
2016-05-10,639.04,631.45,639.31,631.45,,1.25%
2016-05-09,631.13,629.06,632.97,629.06,,0.32%
2016-05-06,629.13,624.68,629.14,621.66,,0.66%
2016-05-05,625,629.22,629.62,624.39,,-0.63%
2016-05-04,628.95,631.04,631.51,626.12,,-0.47%
2016-05-03,631.94,636.51,636.51,630.6,,-0.88%
2016-05-02,637.53,629.43,638.16,629.43,,1.39%
2016-04-29,628.76,624.71,631.89,624.26,,0.51%
2016-04-28,625.58,632.45,634.91,624.43,,-1.11%
2016-04-27,632.62,633.11,634.07,629.44,,-0.10%
2016-04-26,633.27,632.29,635.28,630.1,,0.23%
2016-04-25,631.84,630.08,631.87,627.41,,0.15%
2016-04-22,630.87,632.69,634.49,627.27,,-0.28%
2016-04-21,632.67,634.35,637.46,632.24,,-0.25%
2016-04-20,634.24,634.36,636.7,631.79,,0.04%
2016-04-19,634,636.64,638.94,631.48,,-0.48%
2016-04-18,637.04,631.16,637.09,631.16,,0.91%
2016-04-15,631.28,629.84,631.77,628.1,,0.29%
2016-04-14,629.47,629.85,631.47,627.6,,0.01%
2016-04-13,629.39,622.97,629.8,622.97,,1.35%
2016-04-12,621.02,616.74,621.89,613.73,,0.80%
2016-04-11,616.09,618.98,623.28,616.05,,-0.40%
2016-04-08,618.59,620.69,624,616.34,,-0.15%
2016-04-07,619.55,625.7,626.04,616.95,,-1.15%
2016-04-06,626.78,620.96,627.16,620.12,,0.94%
2016-04-05,620.92,624.89,624.89,619.43,,-0.84%
2016-04-04,626.19,631.78,632.03,625.4,,-0.86%
2016-04-01,631.61,627.43,632.49,624.22,,0.50%
2016-03-31,628.44,629.15,630.72,627.64,,-0.09%
2016-03-30,629.03,626.49,630.54,626.49,,0.62%
2016-03-29,625.13,619.03,625.82,618.5,,0.94%
2016-03-28,619.28,616.61,621.65,616.61,,0.51%
2016-03-24,616.15,614.54,616.31,611.57,,0.09%
2016-03-23,615.61,619.42,619.42,614.92,,-0.63%
2016-03-22,619.5,620.56,621.52,616.25,,-0.24%
2016-03-21,620.99,620.35,621.53,617.04,,0.04%
2016-03-18,620.75,620.29,623.66,619.6,,0.10%
2016-03-17,620.14,618.23,621.99,616.77,,0.27%
2016-03-16,618.45,613.07,620.17,612.42,,0.73%
2016-03-15,613.97,612.54,614.1,610.91,,-0.01%
2016-03-14,614.05,610.72,615.74,610.41,,0.39%
2016-03-11,611.64,604.13,611.7,604.13,,1.57%
2016-03-10,602.17,601.86,606.34,594.8,,0.17%
2016-03-09,601.15,601.06,602.27,597.31,,0.14%
2016-03-08,600.28,604.49,605.75,599.63,,-0.83%
2016-03-07,605.33,607.09,608.15,601.59,,-0.47%
2016-03-04,608.17,608.49,610.51,605.35,,-0.03%
2016-03-03,608.35,604.44,608.37,602.25,,0.56%
2016-03-02,604.99,605.17,605.64,600.82,,-0.11%
2016-03-01,605.68,591.57,605.97,591.57,,2.62%
2016-02-29,590.19,593.07,597.72,590.11,,-0.52%
2016-02-26,593.25,595.06,596.98,591.85,,-0.12%
2016-02-25,593.96,588.43,594.02,585.37,,0.99%
2016-02-24,588.13,583.26,589,573.49,,0.59%
2016-02-23,584.69,587.31,590.28,583.19,,-0.55%
2016-02-22,587.94,577.98,588.76,577.98,,1.91%
2016-02-19,576.92,574.69,576.92,568.14,,0.33%
2016-02-18,575.03,578.96,579.63,573.29,,-0.67%
2016-02-17,578.91,567.01,580.48,567.01,,2.11%
2016-02-16,566.94,553.98,566.94,553.98,,2.47%
2016-02-12,553.27,545.26,553.52,544.29,,1.79%
2016-02-11,543.54,542.54,546.9,536.59,,-0.08%
2016-02-10,543.99,545.76,553.16,543.67,,-0.08%
2016-02-09,544.41,544.65,550.93,538.6,,-0.26%
2016-02-08,545.85,554.44,554.44,536.34,,-1.97%
2016-02-05,556.82,573.81,573.81,555.1,,-3.19%
2016-02-04,575.15,578.1,578.51,570.17,,-0.57%
2016-02-03,578.43,581.8,583.75,567.55,,-0.34%
2016-02-02,580.39,590.45,590.45,578.14,,-1.91%
2016-02-01,591.68,588.07,593.95,582.21,,0.49%
2016-01-29,588.78,576.36,588.78,576.36,,1.23%
2016-01-28,581.62,575.84,583.14,571.43,,1.22%
2016-01-27,574.59,582.74,586.24,571.84,,-1.51%
2016-01-26,583.4,575.32,584.64,574.65,,1.47%
2016-01-25,574.94,582.01,583.04,574.63,,-1.18%
2016-01-22,581.79,572.5,583.77,572.5,,1.70%
2016-01-21,572.04,564.67,578.52,563.64,,1.37%
2016-01-20,564.3,568.92,569.32,547.22,,-0.95%
2016-01-19,569.69,569.93,576.23,563.93,,0.39%
2016-01-15,567.5,576.29,576.29,561.03,,-2.09%
