Date,Price,Open,High,Low,Vol.,Change %
2014-08-20,"4,526.48","4,517.75","4,533.01","4,515.73",356.53M,-0.02%
2014-08-19,"4,527.51","4,514.26","4,528.91","4,513.92",373.14M,0.43%
2014-08-18,"4,508.31","4,490.53","4,509.15","4,486.44",395.42M,0.97%
2014-08-15,"4,464.93","4,479.64","4,482.47","4,427.13",507.50M,0.27%
2014-08-14,"4,453.00","4,438.13","4,453.00","4,433.94",334.04M,0.43%
2014-08-13,"4,434.12","4,407.86","4,434.31","4,403.64",372.80M,1.02%
2014-08-12,"4,389.25","4,394.69","4,407.08","4,371.84",366.69M,-0.27%
2014-08-11,"4,401.33","4,387.38","4,415.78","4,384.15",366.75M,0.70%
2014-08-08,"4,370.90","4,340.88","4,373.11","4,327.87",435.75M,0.83%
2014-08-07,"4,334.97","4,373.24","4,379.70","4,321.89",456.47M,-0.46%
2014-08-06,"4,355.05","4,326.28","4,378.99","4,325.04",444.29M,0.05%
2014-08-05,"4,352.84","4,364.59","4,383.02","4,333.58",467.51M,-0.71%
2014-08-04,"4,383.89","4,365.62","4,395.38","4,343.03",435.81M,0.72%
2014-08-01,"4,352.64","4,363.39","4,385.05","4,324.02",504.65M,-0.39%
2014-07-31,"4,369.77","4,421.29","4,430.80","4,367.15",574.24M,-2.09%
2014-07-30,"4,462.90","4,468.44","4,476.06","4,444.51",457.16M,0.45%
2014-07-29,"4,442.70","4,456.07","4,470.97","4,441.03",486.03M,-0.05%
2014-07-28,"4,444.91","4,451.12","4,455.39","4,413.91",430.75M,-0.10%
2014-07-25,"4,449.56","4,448.06","4,457.95","4,430.43",420.14M,-0.50%
2014-07-24,"4,472.11","4,481.61","4,485.50","4,465.94",456.08M,-0.04%
2014-07-23,"4,473.70","4,468.16","4,480.73","4,457.94",448.41M,0.40%
2014-07-22,"4,456.02","4,444.94","4,464.13","4,443.35",403.35M,0.71%
2014-07-21,"4,424.70","4,421.20","4,432.41","4,404.51",379.18M,-0.17%
2014-07-18,"4,432.15","4,379.94","4,434.44","4,378.22",494.56M,1.57%
2014-07-17,"4,363.45","4,411.52","4,425.38","4,352.23",505.57M,-1.41%
2014-07-16,"4,425.97","4,446.17","4,448.87","4,419.71",492.61M,0.22%
2014-07-15,"4,416.39","4,444.91","4,451.93","4,389.70",444.64M,-0.54%
2014-07-14,"4,440.42","4,441.39","4,451.60","4,432.95",377.89M,0.56%
2014-07-11,"4,415.49","4,401.05","4,417.16","4,389.29",365.72M,0.44%
2014-07-10,"4,396.20","4,352.03","4,415.85","4,351.04",409.74M,-0.52%
2014-07-09,"4,419.03","4,403.03","4,421.93","4,388.01",414.26M,0.63%
2014-07-08,"4,391.46","4,442.87","4,443.56","4,372.04",540.90M,-1.35%
2014-07-07,"4,451.53","4,477.74","4,478.02","4,447.60",424.55M,-0.77%
2014-07-03,"4,485.93","4,472.89","4,485.93","4,463.85",296.07M,0.63%
2014-07-02,"4,457.73","4,457.86","4,466.92","4,450.87",386.49M,-0.02%
2014-07-01,"4,458.65","4,424.71","4,471.60","4,424.43",490.57M,1.14%
