date,amzn,amzn_volume,amzn_change_pct,ixic,ixic_volume,ixic_change_pct,nasdaqndxt,sp500_25,sp500_25_change_pct,spx,spx_change_pct,vixcls,vxazn,amzn_lag1,amzn_delta,amzn_volume_lag1,amzn_volume_delta,amzn_change_pct_lag1,amzn_change_pct_delta,ixic_lag1,ixic_delta,ixic_volume_lag1,ixic_volume_delta,ixic_change_pct_lag1,ixic_change_pct_delta,nasdaqndxt_lag1,nasdaqndxt_delta,sp500_25_lag1,sp500_25_delta,sp500_25_change_pct_lag1,sp500_25_change_pct_delta,spx_lag1,spx_delta,spx_change_pct_lag1,spx_change_pct_delta,vixcls_lag1,vixcls_delta,vxazn_lag1,vxazn_delta,amzn_next_return,stage1_significant,stage2_direction,label
2011-03-16,8.23,18.46268604768604,-0.24,2616.82,20.34203470114729,-1.89,1363.98,296.08,-1.68,1256.9,-1.95,29.4,41.28,8.25,-0.02,18.40820323256681,5530000.0,-1.08,0.84,2667.33,-50.51,20.26188096091256,52610000.0,-1.25,-0.64,1393.66,-29.68,301.14,-5.06,-0.84,-0.84,1281.9,-25.0,-1.12,-0.83,24.32,5.08,37.1,4.18,-0.0219,1,0,Negative
2011-03-17,8.05,18.67888251880603,-2.19,2636.05,20.06058966574153,0.73,1376.66,297.44,0.46,1273.7,1.34,26.37,39.16,8.23,-0.18,18.46268604768604,25170000.0,-0.24,-1.95,2616.82,19.23,20.34203470114729,-167550000.0,-1.89,2.62,1363.98,12.68,296.08,1.36,-1.68,2.14,1256.9,16.8,-1.95,3.29,29.4,-3.03,41.28,-2.12,0.005,0,1,Neutral
2011-03-18,8.09,18.819456870621142,0.5,2643.67,20.679616934860466,0.29,1378.03,297.25,-0.06,1279.2,0.43,24.44,36.1,8.05,0.04,18.67888251880603,19540000.0,-2.19,2.69,2636.05,7.62,20.06058966574153,441820000.0,0.73,-0.44,1376.66,1.37,297.44,-0.19,0.46,-0.52,1273.7,5.5,1.34,-0.91,26.37,-1.93,39.16,-3.06,0.0173,1,1,Positive
2011-03-21,8.23,18.211440110134564,1.73,2692.09,19.952978401352485,1.83,1403.77,301.55,1.45,1298.4,1.5,20.61,34.07,8.09,0.14,18.819456870621142,-67880000.0,0.5,1.23,2643.67,48.42,20.679616934860466,-494410000.0,0.29,1.54,1378.03,25.74,297.25,4.3,-0.06,1.51,1279.2,19.2,0.43,1.07,24.44,-3.83,36.1,-2.03,-0.0122,0,0,Neutral
2011-03-22,8.13,18.095781297522684,-1.22,2683.87,19.86484299176015,-0.31,1398.6,299.2,-0.78,1293.8,-0.35,20.21,33.47,8.23,-0.1,18.211440110134564,-8860000.0,1.73,-2.95,2692.09,-8.22,19.952978401352485,-39050000.0,1.83,-2.14,1403.77,-5.17,301.55,-2.35,1.45,-2.23,1298.4,-4.6,1.5,-1.85,20.61,-0.4,34.07,-0.6,0.0172,1,1,Positive
2011-03-23,8.27,18.36379289233069,1.72,2698.3,19.914371050087578,0.54,1411.66,301.72,0.84,1297.5,0.29,19.17,32.78,8.13,0.14,18.095781297522684,22210000.0,-1.22,2.94,2683.87,14.43,19.86484299176015,21520000.0,-0.31,0.85,1398.6,13.06,299.2,2.52,-0.78,1.62,1293.8,3.7,-0.35,0.64,20.21,-1.04,33.47,-0.69,0.0339,1,1,Positive
2011-03-24,8.55,18.649726848872106,3.39,2736.42,20.036359145963477,1.41,1445.07,306.09,1.45,1309.7,0.94,18.0,33.15,8.27,0.28,18.36379289233069,31270000.0,1.72,1.67,2698.3,38.12,19.914371050087578,57780000.0,0.54,0.87,1411.66,33.41,301.72,4.37,0.84,0.61,1297.5,12.2,0.29,0.65,19.17,-1.17,32.78,0.37,0.0,0,0,Neutral
2011-03-25,8.55,18.268577977385206,0.0,2743.06,19.970687074739505,0.24,1441.73,306.78,0.23,1313.8,0.31,17.91,32.51,8.55,0.0,18.649726848872106,-39850000.0,3.39,-3.39,2736.42,6.64,20.036359145963477,-31980000.0,1.41,-1.17,1445.07,-3.34,306.09,0.69,1.45,-1.22,1309.7,4.1,0.94,-0.63,18.0,-0.09,33.15,-0.64,-0.0094,0,0,Neutral
2011-03-28,8.47,18.035312352244883,-0.94,2730.68,19.879993200132787,-0.45,1434.68,303.5,-1.07,1310.2,-0.27,19.44,34.24,8.55,-0.08,18.268577977385206,-17870000.0,0.0,-0.94,2743.06,-12.38,19.970687074739505,-40850000.0,0.24,-0.69,1441.73,-7.05,306.78,-3.28,0.23,-1.3,1313.8,-3.6,0.31,-0.58,17.91,1.53,32.51,1.73,0.0307,1,1,Positive
2011-03-29,8.73,18.39792376705993,3.07,2756.89,19.833836099169623,0.96,1450.19,306.32,0.93,1319.4,0.7,18.16,34.42,8.47,0.26,18.035312352244883,29730000.0,-0.94,4.01,2730.68,26.21,19.879993200132787,-19410000.0,-0.45,1.41,1434.68,15.51,303.5,2.82,-1.07,2.0,1310.2,9.2,-0.27,0.97,19.44,-1.28,34.24,0.18,0.0275,1,1,Positive
